id,date,text,query
539573718079770624,Tue Dec 02 00:16:13 +0000 2014,"@google please include the #hongkongprotests in the next google zeitgiest video! :)",#GOOG OR @Google
539573773767561216,Tue Dec 02 00:16:27 +0000 2014,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom",#AAPL OR @Apple
539573920689430528,Tue Dec 02 00:17:02 +0000 2014,"RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.",#AAPL OR @Apple
539574411498893313,Tue Dec 02 00:18:59 +0000 2014,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom",#AAPL OR @Apple
539574472122957824,Tue Dec 02 00:19:13 +0000 2014,"@google surmised from my tweets how butt hurt I was not being able to watch #walkingdeadamc unless at home. Gracias. http://t.co/08HPZVbaS4",#GOOG OR @Google
539574687152349184,Tue Dec 02 00:20:04 +0000 2014,"#GOOG News Alert: Welcome to the web's dark side http://t.co/zT4TCQiw7r",#GOOG OR @Google
539574741909389315,Tue Dec 02 00:20:17 +0000 2014,"Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP",#AAPL OR @Apple
539575279866642432,Tue Dec 02 00:22:26 +0000 2014,"Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1",#AAPL OR @Apple
539575300125130753,Tue Dec 02 00:22:31 +0000 2014,"Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL",#AAPL OR @Apple
539575621706596353,Tue Dec 02 00:23:47 +0000 2014,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc",#AAPL OR @Apple
539575688886362112,Tue Dec 02 00:24:03 +0000 2014,"#News Cyber Monday Shopping Rises 9% as Online Sales Slow - Businessweek http://t.co/MIxRp3zHMj Vía @Google",#GOOG OR @Google
539575689825906688,Tue Dec 02 00:24:03 +0000 2014,"#News Four dead in West Virginia shootings; manhunt under way - http://t.co/fc6UC3R1JO http://t.co/OF6mmI3pJS Vía @Google",#GOOG OR @Google
539575692392792064,Tue Dec 02 00:24:04 +0000 2014,"#News Cosby steps down from Temple's board of trustees - http://t.co/IZhSDJbZao http://t.co/ECbMn9JQDp Vía @Google",#GOOG OR @Google
539575711150141440,Tue Dec 02 00:24:09 +0000 2014,"'It is going to be a massive sandbox for you to play in.' Words that @Derella got when he began his work @google",#GOOG OR @Google
