symbol,nr,timestamp,open,high,low,close,volume
AAPL,322014,2014-12-03 18:46:00,115.655,115.665,115.6,115.66,26000
AAPL,322015,2014-12-03 18:47:05,115.66,115.665,115.6001,115.63,27300
AAPL,322016,2014-12-03 18:48:59,115.63,115.65,115.63,115.65,26000
AAPL,322017,2014-12-03 18:49:00,115.65,115.71,115.65,115.705,46200
AAPL,322018,2014-12-03 18:50:58,115.71,115.73,115.67,115.69,35900
AAPL,322019,2014-12-03 18:51:00,115.69,115.71,115.68,115.7,24400
AAPL,322020,2014-12-03 18:52:59,115.693,115.71,115.68,115.682,21600
AAPL,322021,2014-12-03 18:53:00,115.68,115.716,115.67,115.7,49900
AAPL,322022,2014-12-03 18:54:00,115.69,115.7,115.67,115.6968,18700
AAPL,322023,2014-12-03 18:55:59,115.6933,115.72,115.69,115.719,53200
AAPL,322024,2014-12-03 18:56:00,115.7,115.73,115.69,115.729,27800
AAPL,322025,2014-12-03 18:57:59,115.726,115.75,115.71,115.725,69600
AAPL,322026,2014-12-03 18:58:01,115.75,115.79,115.745,115.78,94100
AAPL,322027,2014-12-03 18:59:59,115.7872,115.84,115.781,115.82,69400
AAPL,322028,2014-12-03 19:00:00,115.82,115.829,115.7,115.7566,78800
AAPL,322029,2014-12-03 19:01:02,115.756,115.78,115.75,115.76,22400
AAPL,322030,2014-12-03 19:02:59,115.7753,115.8,115.761,115.78,38300
AAPL,322031,2014-12-03 19:03:00,115.78,115.784,115.76,115.77,30100
AAPL,322032,2014-12-03 19:04:03,115.77,115.8,115.761,115.79,45000
AAPL,322033,2014-12-03 19:05:58,115.79,115.825,115.78,115.79,73400
AAPL,322034,2014-12-03 19:06:00,115.79,115.81,115.75,115.775,46900
AAPL,322035,2014-12-03 19:07:01,115.78,115.83,115.77,115.81,76700
AAPL,322036,2014-12-03 19:08:02,115.801,115.81,115.78,115.8055,25600
AAPL,322037,2014-12-03 19:09:01,115.8,115.83,115.75,115.83,29200
AAPL,322038,2014-12-03 19:10:59,115.8398,115.84,115.81,115.82,31600
AAPL,322039,2014-12-03 19:11:59,115.82,115.86,115.81,115.85,52400
AAPL,322040,2014-12-03 19:12:00,115.859,115.87,115.8201,115.83,59900
AAPL,322041,2014-12-03 19:13:59,115.8362,115.89,115.8301,115.8799,89400
AAPL,322042,2014-12-03 19:14:59,115.87,115.87,115.78,115.8263,66700
AAPL,322043,2014-12-03 19:15:00,115.83,115.86,115.83,115.86,25700
AAPL,322044,2014-12-03 19:16:02,115.865,115.866,115.81,115.84,40000
AAPL,322045,2014-12-03 19:17:59,115.84,115.841,115.8,115.84,41600
AAPL,322046,2014-12-03 19:18:59,115.8456,115.85,115.73,115.803,89400
AAPL,322047,2014-12-03 19:19:54,115.803,115.82,115.78,115.81,38700
AAPL,322048,2014-12-03 19:20:01,115.819,115.87,115.81,115.86,36200
AAPL,322049,2014-12-03 19:21:59,115.86,115.87,115.8,115.82,53900
AAPL,322050,2014-12-03 19:22:00,115.82,115.85,115.8,115.8,39600
AAPL,322051,2014-12-03 19:23:01,115.81,115.83,115.79,115.81,36600
AAPL,322052,2014-12-03 19:24:59,115.81,115.819,115.78,115.78,37900
AAPL,322053,2014-12-03 19:25:00,115.77,115.7786,115.71,115.76,78100
AAPL,322054,2014-12-03 19:26:59,115.76,115.81,115.7501,115.785,34900
AAPL,322055,2014-12-03 19:27:00,115.79,115.83,115.789,115.823,34100
AAPL,322056,2014-12-03 19:28:02,115.83,115.85,115.8,115.844,30500
AAPL,322057,2014-12-03 19:29:58,115.85,115.87,115.81,115.84,39100
AAPL,322058,2014-12-03 19:30:58,115.831,115.87,115.83,115.84,28600
